iter	Passed	Remaining
437	1369	1757
438	1372	1753
439	1374	1749
440	1377	1745
441	1379	1741
442	1382	1738
443	1385	1735
444	1387	1730
445	1389	1726
446	1392	1722
447	1394	1718
448	1397	1715
449	1400	1711
450	1402	1707
451	1405	1704
452	1408	1700
453	1410	1695
454	1412	1691
455	1414	1688
456	1417	1684
457	1420	1681
458	1423	1677
459	1425	1673
460	1428	1670
461	1431	1667
462	1434	1663
463	1436	1659
464	1439	1656
465	1441	1652
466	1444	1648
467	1446	1644
468	1449	1641
469	1452	1637
470	1454	1634
471	1457	1630
472	1460	1627
473	1463	1623
474	1466	1620
475	1469	1617
476	1472	1614
477	1475	1611
478	1479	1608
479	1482	1606
480	1486	1603
481	1488	1600
482	1491	1596
483	1495	1594
484	1499	1592
485	1504	1591
486	1508	1588
487	1511	1586
488	1515	1583
489	1517	1579
490	1520	1576
491	1523	1572
492	1525	1569
493	1528	1565
494	1531	1562
495	1533	1558
496	1536	1555
497	1539	1552
498	1542	1548
499	1545	1545
500	1548	1541
501	1551	1538
502	1553	1534
503	1556	1531
504	1558	1527
505	1559	1522
506	1562	1519
507	1565	1516
508	1567	1512
509	1570	1508
510	1574	1506
511	1576	1502
512	1580	1500
513	1583	1497
514	1586	1494
515	1589	1491
516	1592	1487
517	1595	1484
518	1597	1480
519	1599	1476
520	1603	1473
521	1606	1470
522	1609	1468
523	1612	1465
524	1616	1462
525	1618	1458
526	1621	1455
527	1624	1452
528	1627	1449
529	1630	1445
530	1633	1442
531	1636	1439
532	1639	1436
533	1643	1433
534	1645	1430
535	1648	1427
536	1651	1424
537	1654	1420
538	1656	1417
539	1659	1414
540	1663	1411
541	1666	1408
542	1669	1404
543	1673	1403
544	1677	1400
545	1683	1399
546	1688	1398
547	1692	1395
548	1696	1393
549	1699	1390
550	1702	1387
551	1705	1384
552	1709	1381
553	1711	1378
554	1714	1374
555	1717	1371
556	1720	1368
557	1723	1365
558	1725	1361
559	1728	1358
560	1731	1355
561	1734	1351
562	1737	1348
563	1740	1345
564	1743	1342
565	1746	1339
566	1749	1335
567	1751	1332
568	1754	1329
569	1757	1326
570	1761	1323
571	1764	1320
572	1767	1317
573	1770	1313
574	1772	1310
575	1775	1306
576	1778	1303
577	1781	1300
578	1783	1296
579	1786	1293
580	1788	1290
581	1791	1286
582	1794	1283
583	1797	1280
584	1800	1276
585	1803	1273
586	1806	1270
587	1808	1267
588	1811	1264
589	1815	1261
590	1817	1258
591	1821	1255
592	1824	1252
593	1827	1249
594	1830	1246
595	1833	1242
596	1835	1239
597	1839	1236
598	1842	1233
599	1845	1230
600	1848	1227
601	1851	1224
602	1854	1220
603	1857	1217
604	1860	1214
605	1862	1211
606	1865	1208
607	1868	1204
608	1870	1201
609	1873	1197
610	1876	1194
611	1879	1191
612	1884	1189
613	1886	1186
614	1889	1182
615	1891	1179
616	1894	1175
617	1896	1172
618	1899	1168
619	1902	1165
620	1904	1162
621	1906	1158
622	1910	1155
623	1912	1152
624	1916	1149
625	1918	1146
626	1921	1143
627	1924	1140
628	1927	1136
629	1929	1133
630	1932	1130
631	1935	1126
632	1937	1123
633	1940	1119
634	1942	1116
635	1945	1113
636	1947	1110
637	1950	1106
638	1952	1103
639	1955	1099
640	1957	1096
641	1959	1092
642	1962	1089
643	1964	1086
644	1967	1082
645	1970	1079
646	1973	1076
647	1976	1073
648	1979	1070
649	1982	1067
650	1985	1064
651	1987	1060
652	1990	1057
653	1992	1054
654	1995	1050
655	1997	1047
656	1999	1044
657	2002	1040
658	2004	1037
659	2007	1033
660	2009	1030
661	2012	1027
662	2014	1023
663	2016	1020
664	2019	1017
665	2021	1013
666	2024	1010
667	2027	1007
668	2030	1004
669	2033	1001
670	2036	998
671	2039	995
672	2042	992
673	2044	988
674	2046	985
675	2049	982
676	2052	979
677	2054	975
678	2057	972
679	2059	969
680	2062	966
681	2065	962
682	2067	959
683	2070	956
684	2072	953
685	2074	949
686	2077	946
687	2079	943
688	2082	939
689	2085	936
690	2087	933
691	2090	930
692	2093	927
693	2095	924
694	2098	920
695	2100	917
696	2103	914
697	2105	910
698	2107	907
699	2110	904
700	2113	901
701	2115	898
702	2117	894
703	2120	891
704	2122	888
705	2125	885
706	2128	881
707	2130	878
708	2133	875
709	2135	872
710	2137	868
711	2139	865
712	2142	862
713	2144	859
714	2146	855
715	2149	852
716	2152	849
717	2155	846
718	2157	843
719	2160	840
720	2163	837
721	2165	833
722	2167	830
723	2170	827
724	2173	824
725	2175	821
726	2179	818
727	2182	815
728	2185	812
729	2188	809
730	2191	806
731	2194	803
732	2197	800
733	2200	797
734	2203	794
735	2206	791
736	2209	788
737	2212	785
738	2215	782
739	2218	779
740	2221	776
741	2224	773
742	2226	770
743	2229	767
744	2231	763
745	2235	761
746	2237	757
747	2240	754
748	2243	751
749	2245	748
750	2251	746
751	2254	743
752	2257	740
753	2260	737
754	2263	734
755	2266	731
756	2268	728
757	2271	725
758	2274	722
759	2277	719
760	2280	716
761	2283	713
762	2285	710
763	2288	706
764	2291	703
765	2293	700
766	2296	697
767	2298	694
768	2301	691
769	2303	688
770	2306	684
771	2309	681
772	2312	678
773	2314	675
774	2317	672
775	2320	669
776	2323	666
777	2326	663
778	2329	660
779	2332	657
780	2335	654
781	2338	651
782	2341	649
783	2344	645
784	2347	642
785	2349	639
786	2351	636
787	2354	633
788	2357	630
789	2359	627
790	2362	624
791	2365	621
792	2368	618
793	2371	615
794	2373	612
795	2376	609
796	2379	606
797	2381	602
798	2384	599
799	2387	596
800	2389	593
801	2392	590
802	2394	587
803	2397	584
804	2400	581
805	2403	578
806	2406	575
807	2408	572
808	2410	569
809	2412	565
810	2415	562
811	2417	559
812	2420	556
813	2423	553
814	2426	550
815	2429	547
816	2432	544
817	2434	541
818	2438	538
819	2440	535
820	2443	532
821	2446	529
822	2449	526
823	2451	523
824	2454	520
825	2456	517
826	2459	514
827	2462	511
828	2465	508
829	2467	505
830	2470	502
831	2472	499
832	2475	496
833	2478	493
834	2480	490
835	2482	487
836	2485	484
837	2488	481
838	2491	478
839	2494	475
840	2497	472
841	2500	469
842	2502	466
843	2505	463
844	2507	459
845	2510	456
846	2512	453
847	2515	450
848	2517	447
849	2520	444
850	2523	441
851	2526	438
852	2528	435
853	2531	432
854	2534	429
855	2537	426
856	2540	423
857	2543	420
858	2546	418
859	2549	415
860	2552	412
861	2555	409
862	2558	406
863	2562	403
864	2565	400
865	2569	397
866	2572	394
867	2575	391
868	2578	388
869	2580	385
870	2583	382
871	2586	379
872	2589	376
873	2592	373
874	2595	370
875	2598	367
876	2602	364
877	2609	362
878	2618	360
879	2626	358
880	2632	355
881	2641	353
882	2645	350
883	2648	347
884	2651	344
885	2653	341
886	2656	338
887	2659	335
888	2662	332
889	2665	329
890	2668	326
891	2671	323
892	2674	320
893	2676	317
894	2679	314
895	2682	311
896	2684	308
897	2686	305
898	2689	302
899	2691	299
900	2694	296
901	2697	293
902	2699	289
903	2703	287
904	2706	284
905	2709	281
906	2712	278
907	2716	275
908	2718	272
909	2721	269
910	2724	266
911	2727	263
912	2730	260
913	2733	257
914	2736	254
915	2738	251
916	2740	248
917	2743	245
918	2745	241
919	2747	238
920	2750	235
921	2753	232
922	2756	229
923	2759	226
924	2761	223
925	2764	220
926	2767	217
927	2770	214
928	2772	211
929	2775	208
930	2778	205
931	2781	202
932	2784	199
933	2787	196
934	2789	193
935	2791	190
936	2794	187
937	2796	184
938	2798	181
939	2801	178
940	2803	175
941	2805	172
942	2807	169
943	2810	166
944	2812	163
945	2815	160
946	2818	157
947	2821	154
948	2824	151
949	2827	148
950	2830	145
951	2832	142
952	2835	139
953	2837	136
954	2839	133
955	2842	130
956	2845	127
957	2847	124
958	2850	121
959	2853	118
960	2855	115
961	2858	112
962	2861	109
963	2863	106
964	2864	103
965	2866	100
966	2868	97
967	2870	94
968	2873	91
969	2876	88
970	2879	85
971	2882	83
972	2885	80
973	2888	77
974	2891	74
975	2893	71
976	2896	68
977	2898	65
978	2901	62
979	2903	59
980	2907	56
981	2909	53
982	2912	50
983	2916	47
984	2919	44
985	2922	41
986	2924	38
987	2927	35
988	2930	32
989	2933	29
990	2936	26
991	2938	23
992	2941	20
993	2945	17
994	2949	14
995	2951	11
996	2953	8
997	2955	5
998	2958	2
999	2960	0
